标签,文本
like,。我已经预想到函数新专辑所面临的各方的评论，甜的酸的苦的辣的各种味道的都有。。由于地域特点，我们VBaby要经受的会更多。。但我就是无原则支持她，此期间我尽量无视挑事儿的，只要不太过分[挖鼻屎]
happiness,。是啊！。4月份已完成七站的推介活动，感谢贵方支持！。//@ReneeZhang：预祝成功！。捷达全国的巡演范围真广，是不是有三十多站呢！。@wing之家
disgust,。别这么批评~想着汶川地震时温总理在寒雨里站着废墟旁蹲着....。这样批评会觉得对不起温总理以及像他一样的那些好人们[手套]。//@希热多吉居士:[照相机]
like,。收到寄自蒙特利尔的一本诗刊（好像有关Vallum诗歌奖），所有图片都是我作品，附着一张无法兑现的支票，收款人是我的笔名。。书中有中国诗人杨子的一首诗，我很喜欢，摘一段：我和那些和我一样戴着假面的人朝夕相处，我也和你们看不见的朝霞，白羊和花朵朝夕相处，我的假面并没有将我变成时光的囚徒。
disgust,。[挖鼻屎] 顶着后援会的名儿就做点对得起那个名字的事儿！。做不做实事没人能评断你对错！。但有些图该发有些图不该发，这个平衡点自己找不到么！。烧饼么！。擦！。真心看不起！
sadness,"。想你,是一种痛,隐隐的痛，不常来,却挥之不去;想你,是一种,刻骨铭心的痛,不常来,却仍深刻;想你,从不知疲惫,却极痛,撕心裂肺...。痛苦的不是过去,而是记忆！"
surprise,。为什么会在一个人身上看见另一个人的影子？。人与人之间的相似除容貌意外的神似已经是很神奇的事情了！。为什么竟然会有同样的伤疤在手臂上？
sadness,。曾经我不幸福，是因为我还未放下，沉浸在痛苦之中，如今我学会了遗忘，明白只有放下，我才会幸福！。美好的回忆，只是偶尔瞬间出现在嘴角的那一丝微笑，笑着忘了吧....。擦干最后为你落下的眼泪，与昨日挥别，爱，已成往事......
happiness,。人总要有不加思索的疯几次！。是释压、是放纵、是真性情、是求自由。。。每个人都有自己的合理理由。。在不触犯别人的利益下都HIGH起来吧！。这大周末的！！。让我的周五必HIGH症发作的更猛烈些吧！！！
happiness,。把憋在心里的话一次过说出来真的很舒服。。好爽啊~ [开心][开心][开心]。舒服舒服~。晚安~[睡觉][睡觉][睡觉]
surprise,。哇！。明星身价大揭密！。前五名:1、成龙1.17亿港元成为全球片酬华人演员。。2、李连杰1000万美元加分红。。3、周润发800万美金。。4、巩利500万美金华人女星之冠。。5、章子怡400万美元加分红。
like,。终于知道四哥为何对这个国主之位如此痴迷！。颇有一种一夫当关万夫莫开的气势！。只能说熊猫族的小熊猫太可爱。。。。
sadness,。天还没亮就起床了，蒸蛋，热奶，遛狗，然后一路狂飙至青白江，参加技改项目集中开工。。几天前的采访通知，一百七八十个亿的项目，相当于来给人家贺喜，怎么能迟到呢。。客人够虔诚的，赫然在所有各类来宾签到簿上稳居第一，奶奶的，十点半才开始，早来了九十分钟。。气温3度，小雨淅淅，怎一个惨字了得。
disgust,。1800点？。想吓唬谁呀？。恶心，看看私募的成绩单：有资格预测股市吗？。媒体也不把关？。什么废话、弱智的话也往网络上搬？。都是弱智吗？
like,。时间流里，冲走生命，回顾2008，祈望和平，和谐世界，平安众生，永息争战，合作共赢，地球象生命一样脆弱，经不住众生折腾!
fear,。看着满屋子需要收藏的厚衣服和满屋子需要洗的脏衣服脏袜子，无从下手，情何以堪，幸好今天晚上没有课，只有大洗了，唉……
surprise,。情人节，我辗转找到一个我中学暗恋的女生的电话，给她发了一条短信：如果只有一碗粥，你先喝半碗，剩下的半碗，我放在怀里给你保温…。几分钟后，她回了一条短信：你是谁介绍的？。一次四百，包夜七百。
happiness,。哈哈～～。这次也没让你久等吧。。运输还算顺利的。。所有衣服的尺寸我都亲自量好写在博文里了。。男装T恤一定要量，不能只看码数的。。没有加大码这么夸张吧。。哈哈～～
disgust,。高调慈善怎么了？。谁规定必须低调呀？。做慈善又不是做贼见不得人？。有人愿意站街上发钱有什么不好？。你觉得受侮辱了可以躲远远儿的别伸手，有拿了钱笑逐颜开的，有什么不对吗？。人那叫领情。。你看不惯陈的方式觉得恶心，有本事你脸上戴一袜套弄得跟蒙面大盗似的也站街上发钱呀。。不捐的骂捐的装什么孙子呀？
anger,。前几天发了又删的一句话，删了是不希望自己的微薄上充满负面能量。。可是，谁给你们权利去随便拍乞讨人的照片，然后发布在网上的？。难道乞讨就没有尊严，可以让你为所欲为吗？
like,。回复@青岛KONA咖啡:为了给客人提供专业、纯正的咖啡，咱真下了本了，呵呵！。支持！。//@青岛KONA咖啡:回复@中国咖啡馆联盟: 您好。。。。一个是美式咖啡拼配豆用，一个是卡布用，一个精品意式豆用，，，也是自己多学习拼配豆与消费者的反映！
disgust,。多少年旅游都不跟团，这次算是半跟团，还是一样像幼儿园小朋友让导游牵着走…。起那一大早，走庸俗的路线，听导游背熟到没有逗号的话…。为什么那么多年我们的旅游业没有一点进步，总让跟团得我们觉得旅游是遭罪？。各种困各种累…
disgust,。我不愿去想它，明天醒来会在自己软软的床上，可以吃生力面，可以不做蛋糕，可以不再微笑，也可以尽情大笑，我没有什么要来深究的理由了
sadness,。那确实，为了五只那钱花的如流水啊，也不在乎贵不贵了，今年光哥五个的专辑我就败了多少钱啊！。哥仨的要买，哥俩的也不能落下，天啊快合体吧，我经不起这么放血啊！
disgust,"。如果交通部门不对这些大货车,水泥车.太托拉来一次彻底的整治.。大连没个好.。(听说能牵出不少泥)。//@卢壬子曰:转发微博"
happiness,。今天下午，从土山湾博物馆出来后，再次来到南华春堂，位于徐家汇光启公园内的徐光启纪念馆，为自己的工作和研究而探求历史的记忆，，，每年的清明，我都会来此参加祭奠光启先生的活动，缅怀他的丰功伟绩，我认为，海派文化的发祥，最早可追溯到徐光启，他是我最敬仰的上海历史伟人，，，
disgust,。成都火车站：我哥去托运行李的时候，在大厅里被一个有工作牌的人员拦下，说不够大的行李要在外面托运。。今天人到了，行李没到。。去成都火车站查询。。工作人员说那是骗子，有很多这样的投诉。。他们也报案了。。质疑1！。骗子如何有工作牌在行李大厅里明目张胆行骗？。而且在有很多人投诉的情况下。。-成都朋友请转
disgust,。男人用情太专一了：18岁时喜欢18岁的，28岁喜欢18岁的，38岁喜欢18岁的………。88岁还是喜欢18岁的………。至死不渝！
disgust,。听说我们家米老头昨个儿被多特粉给嫌弃了，还举纸抗议了。。于是，我决定下这场高清来看看。。另外，我瞅了下那排场，那阵仗，卧槽！。也忒小了点吧，怎么说咱也是国家队大佬，能不能给搞个华丽点的啊，就那么稀稀拉拉几张纸加根烟花棒，很丢人的好伐。。人拜仁粉可是策动了一面看台呢！(／‵Д′)／~ ╧╧
like,。朴北鼻眼睛蒲扇的样子真心的扼杀了我~~~[惊哭] 还有喉咙处小肉肉缩上去的感觉~也好喜欢的~~[惊哭] 北鼻啊~~~~
disgust,。某次听台湾电台，一档午夜热线节目，主题是请台湾当地人民来谈谈他们眼里的大陆春晚，基本的评价就如现在我们评价朝鲜一般。。由于是在没有互联网时代，我听的是短波，那吱吱咋咋的信号干扰，那吱吱咋咋的DJ和听众的调侃，搞得我这个大陆听众有些不好意思。
disgust,。我可以很负责的说这位副厅长黄庆荣绝对是历史上所说的奸臣，当初主动提出要给毛主席制造瓷器的是他，现在反过来讲毛主席坏话的还是他，他是什么人呢？。小人，奸臣。。人渣
surprise,。酒店虽然不错，但是我第一次看到这么奇怪的酒店，要到房间，先要电梯或步行上一层，穿过途中的走廊，再坐电梯或步行下两层才能到房间。
sadness,。心情不好我就容易话痨，今天又刷了半屏微博。。看看今天自己发的微博，感觉自己有点人格分裂。。这条忧伤，那条绝望，突然又冒充一条无厘头的欢乐。。其实吧，悲伤在我心中，欢乐只是我的伪装。
like,。不管怎么说，感恩……。希望能够帮到需要的人！。我们有所收获，也有所付出。。多关心身边的朋友，多关心身边的亲人，感恩这一年的时光，感恩阿里，祝福阿里能做一家持续发展102年的公司！
like,。一早起来的晨曲是梁永琪的 《短发》，剪断长发，剪断牵挂，剪断长长短短的分岔。。有时候，改变真的需要勇气。。我喜欢早晨，喜欢这总是新一天的开始。。改变就潜藏在每分每秒中。。让美丽由新而生。。大家一起加油！
like,。什麽是初戀?。就是他是數學科代表，你會爭取做語文科代表;他拿全班第一，你會爭取拿全班第二....這就是我們的愛情，平淡卻真實!。五周年，深愛依然!!
surprise,。昨晚，跟一Gay男性好友和一单女宵夜，俩人3 5，都单着呢。。我问他，你们Gay也会面临大龄不好找 ，相亲介绍，和担心老了孤独一人的困惑吗？。他说，拜托，我们和你们异性恋面临的困惑是一样的！
like,。飞来峰﹣弥勒佛，愿朋友们笑口常开！。它一年四季都嵌在石壁里，没有自由，因为心胸宽广才能如此开心，真的是人世难逢开口笑！
happiness,。张文前 XiaoCaige蔡达 80后的老剩男 亲，自家糯米酒好喝，别贪杯哦！。姐上火了！。外婆煲了她自己晒的蛇舌草给我，暖心
like,。2月杂志上市啦！。张柏芝复出后首登「时尚芭莎」封面，14000字史上最深度的访谈：从息影到复出亲情和辛酸，揭秘锋芝恋为何如此坚强、两人为何情胜初恋，她为何原谅伤害她的人。。霆锋说她是世界上最勇敢的女性，她说：不要怕，爱能让你做到一切！。我们祝天下男人和女人，都更勇敢爱、相信爱、好好爱！
